Box,Time,Addition,Role,Experiment,Methylophilaceae,Methylacidiphilaceae,Methylococcaceae,Methylomonadaceae,Methylocystaceae
3,53.92,NH4+,50 uM,JL2,0.006892708,0.14794392,0.000322637,0.000117323,0.000557283
1,0,None,Control,JL3,0.003637004,0.043849358,0.001554526,0.000498621,0.000909251
1,3.4,None,Control,JL3,0.00349035,0.031413152,0.002023817,0.000762598,0.000557283
1,6.4,None,Control,JL3,0.005836804,0.058983985,0.007449991,0.00087992,0.000557283
1,19.18,None,Control,JL3,0.006892708,0.054965683,0.004692908,8.80E-05,0.000938582
1,32.33,None,Control,JL3,0.006188772,0.099284332,0.007098023,0.000381299,0.000322637
1,44.97,None,Control,JL3,0.002082478,0.029741303,0.002874406,0.000322637,0.000909251
1,69.08,None,Control,JL3,0.002405115,0.061829061,0.002199801,2.93E-05,0.001114566
2,0,None,Control,JL3,0.002991729,0.035900745,0.001231888,0.000909251,0.000938582
2,3.52,None,Control,JL3,0.00261043,0.026016308,0.001231888,0.000527952,0.00087992
2,6.4,None,Control,JL3,0.006570071,0.067841849,0.004487593,0.000733267,8.80E-05
2,19.13,None,Control,JL3,0.005748812,0.082507186,0.003255705,0.000117323,0.000322637
2,32.32,None,Control,JL3,0.002933067,0.047369039,0.006130111,5.87E-05,0.000557283
2,44.95,None,Control,JL3,0.002493107,0.036575351,0.000469291,0,0.00131988
2,68.87,None,Control,JL3,0.00217047,0.02569367,0.002522438,0.000205315,0.001173227
2,94.37,None,Control,JL3,0.004487593,0.056901508,0.001583856,0.000263976,0.000557283
1,0,None,Control,OCT_21,0.006159442,0.026368276,0.001789171,0.000351968,0.002199801
1,37.8,None,Control,OCT_21,0.008329911,0.030973192,0.001935824,2.93E-05,0.002933067
1,60.65,None,Control,OCT_21,0.000410629,0.002727753,0.000205315,0,0.001173227
1,71.26666667,None,Control,OCT_21,0.000146653,0.004458262,0,8.80E-05,0.00043996
2,0,None,Control,OCT_21,0.003666334,0.012817505,0.002082478,0.000381299,0.008535226
2,23.81666667,None,Control,OCT_21,0.009884437,0.029770634,0.001026574,5.87E-05,0.001407872
2,116.4333333,None,Control,OCT_21,0.000410629,0.00566082,5.87E-05,0,0.000351968
2,38.73333333,None,Control,OCT_21,0.008887194,0.036751335,0.00085059,0,0.001437203
2,61.33333333,None,Control,OCT_21,0.00129055,0.011057664,5.87E-05,5.87E-05,0.001202558
2,73,None,Control,OCT_21,0.000527952,0.005543497,8.80E-05,2.93E-05,0.003578342
2,82.11666667,None,Control,OCT_21,0.000351968,0.00393031,0.000146653,2.93E-05,0.000469291
2,93.93333333,None,Control,OCT_21,0.000381299,0.003079721,0.000234645,0,0.000263976
