"","x"
"B1T0",0.0120162434561378
"B1T1",0.0190554018163921
"B2T0",0.0109851631080927
"B2T1",0.0103252702506181
"B2T2",0.0118140243902439
"B2T3",0.0221787398480482
"B2T4",0.0165827821915339
"B2T5",0.0121234929638042
"B2T6",0.010155793493379
"B2T7",0.010643829104522
"B2T8",0.010388684592581
"B3T0",0.00824105073396858
"B3T1",0.0123110132235901
"B3T2",0.0161226175543794
"B3T3",0.0141644646541985
"B3T5",0.0088871485362594
"B3T6",0.0117015103827827
"B3T7",0.00872201535001866
"B3T8",0.0115041253481169
