"","x"
"B1T0",0.00816086892705123
"B1T1",0.011561391452928
"B2T0",0.00886793374700738
"B2T1",0.0113109376767334
"B2T2",0.0114043445121951
"B2T3",0.00852272727272727
"B2T4",0.00623934112557714
"B2T5",0.00717732288544509
"B2T6",0.0134807048153604
"B2T7",0.0106512567591657
"B2T8",0.0142138069530292
"B3T0",0.0102412224225255
"B3T1",0.0108719496678747
"B3T2",0.00937171760434831
"B3T3",0.00678811193381824
"B3T5",0.00671643696849489
"B3T6",0.0107608179628295
"B3T7",0.0133197374290995
"B3T8",0.0130310680790887
