"","x"
"B1T0",0.00370859631097412
"B1T1",0.00112363724160987
"B2T0",0.00298040748522011
"B2T1",0.00446782038230969
"B2T2",0.00409679878048781
"B2T3",0.00119531045323553
"B2T4",0.0016291612939007
"B2T5",0.00200266125455303
"B2T6",0.00454294814290535
"B2T7",0.00145582031017886
"B2T8",0.000765024472089647
"B3T0",0.00582882650871319
"B3T1",0.00300097400033344
"B3T2",0.00239646750492041
"B3T3",0.00114847010709717
"B3T5",0.00686115107301252
"B3T6",0.00138905983507112
"B3T7",0.00217595163742637
"B3T8",0
